city,location,country,pollutants,last_updated
,Montara Ave ES (6878),US,"['pm25', 'relativehumidity', 'pm10', 'temperature', 'temperature', 'pm1']",2024-12-19T04:07:05+00:00
,West Hollywood ES (7649),US,"['temperature', 'temperature', 'pm10', 'pm25', 'pm1']",2024-12-19T04:07:03+00:00
,Chamber of Commerce,US,['pm25'],2024-12-19T04:07:03+00:00
,Sunny Brae ES (6986),US,"['pm25', 'pm10', 'temperature', 'pm1', 'temperature']",2024-12-19T04:07:02+00:00
,Purche ES (6158),US,"['pm1', 'temperature', 'pm25', 'temperature', 'pm10']",2024-12-19T04:07:01+00:00
,Monroe HS (8768),US,"['pm1', 'pm25', 'pm10', 'relativehumidity', 'temperature', 'temperature']",2024-12-19T04:06:59+00:00
,Summit Ave,US,['pm25'],2024-12-19T04:06:58+00:00
,Broken Tee Golf Course,US,['pm25'],2024-12-19T04:06:58+00:00
,Remington Park,US,['pm25'],2024-12-19T04:06:57+00:00
,Cloverdale Veterans Center,US,['pm25'],2024-12-19T04:06:57+00:00
,Knollwood ES (4762),US,"['temperature', 'temperature', 'relativehumidity', 'pm10', 'pm1', 'pm25']",2024-12-19T04:06:56+00:00
,A6LHM5BD,US,['pm25'],2024-12-19T04:06:56+00:00
,Texas Tech 02,US,['pm25'],2024-12-19T04:06:55+00:00
,RIMAC Arena,US,['pm25'],2024-12-19T04:06:55+00:00
,Sheridan St ES (6685),US,"['temperature', 'pm10', 'temperature', 'no2', 'relativehumidity', 'pm1', 'pm25']",2024-12-19T04:06:55+00:00
,Southwest Elementary,US,['pm25'],2024-12-19T04:06:54+00:00
,Saint Matthew’s church,US,['pm25'],2024-12-19T04:06:54+00:00
,50th & MLK 02,US,['pm25'],2024-12-19T04:06:53+00:00
,Lanai Rd ES (4764),US,"['temperature', 'no2', 'pm25', 'pm1', 'temperature', 'pm10', 'relativehumidity']",2024-12-19T04:06:52+00:00
,Marvin ES (5178),US,"['temperature', 'pm25', 'pm1', 'temperature', 'pm10']",2024-12-19T04:06:50+00:00
